DATE,DISTRICT,WEATHER_CONDITION,SPECIAL_DAY,DAY_OF_WEEK_NUM,POPULATION,RAILWAY_STATIONS,BUS_STATIONS,CONGESTION
2024-01-01,1,1,1,1,344868,5,678,0.213
2024-01-01,2,1,1,1,414866,8,437,0.468
2024-01-01,3,1,1,1,440934,2,239,0.439
2024-01-01,4,1,1,1,713594,17,303,0.515
2024-01-01,5,1,1,1,560086,9,216,0.518
2024-01-01,6,1,1,1,219893,19,231,0.394
2024-01-01,7,1,1,1,520467,17,678,0.318
2024-01-01,8,1,1,1,268303,4,111,0.471
2024-01-01,9,1,1,1,167264,8,277,0.467
2024-01-01,10,1,1,1,245440,0,1039,0.211
2024-01-01,11,1,1,1,415290,0,364,0.38
2024-01-01,12,1,1,1,216688,11,158,0.537
2024-01-01,13,1,1,1,280528,0,311,0.097
2024-01-01,15,1,1,1,306739,10,151,0.377
2024-01-01,16,1,1,1,423625,3,440,0.334
2024-01-01,17,1,1,1,988369,25,547,0.319
2024-01-01,18,1,1,1,420706,27,250,0.51
2024-01-01,19,1,1,1,354472,8,190,0.56
2024-01-01,20,1,1,1,479931,6,121,0.514
2024-01-01,21,1,1,1,264831,27,416,0.491
2024-01-01,22,1,1,1,462189,5,277,0.479
2024-01-01,23,1,1,1,444820,9,471,0.426
2024-01-01,24,1,1,1,475859,18,451,0.456
2024-01-01,25,1,1,1,789033,10,515,0.409
2024-01-01,26,1,1,1,524921,17,800,0.308
2024-01-01,27,1,1,1,749356,6,404,0.358
2024-01-01,28,1,1,1,502077,7,793,0.307
2024-01-01,29,1,1,1,342582,0,341,0.1
2024-01-01,30,1,1,1,232156,9,212,0.548
2024-01-01,31,1,1,1,369193,2,357,0.41
2024-01-01,32,1,1,1,532601,6,221,0.45
2024-01-01,33,1,1,1,48936,4,521,0.254
2024-01-01,34,1,1,1,263063,20,718,0.466
2024-01-01,35,1,1,1,301400,9,651,0.478
2024-01-01,36,1,1,1,727819,8,139,0.471
2024-01-01,37,1,1,1,512981,0,284,0.077
2024-01-01,38,1,1,1,278344,1,354,0.122
2024-01-03,1,2,0,3,344868,5,678,0.243
2024-01-03,2,2,0,3,414866,8,437,0.54
2024-01-03,3,2,0,3,440934,2,239,0.516
2024-01-03,4,2,0,3,713594,17,303,0.592
2024-01-03,5,2,0,3,560086,9,216,0.594
2024-01-03,6,2,0,3,219893,19,231,0.444
2024-01-03,7,2,0,3,520467,17,678,0.373
2024-01-03,8,2,0,3,268303,4,111,0.542
2024-01-03,9,2,0,3,167264,8,277,0.504
2024-01-03,10,2,0,3,245440,0,1039,0.244
2024-01-03,11,2,0,3,415290,0,364,0.457
2024-01-03,12,2,0,3,216688,11,158,0.559
2024-01-03,13,2,0,3,280528,0,311,0.126
2024-01-03,15,2,0,3,306739,10,151,0.425
2024-01-03,16,2,0,3,423625,3,440,0.437
2024-01-03,17,2,0,3,988369,25,547,0.339
2024-01-03,18,2,0,3,420706,27,250,0.492
2024-01-03,19,2,0,3,354472,8,190,0.584
2024-01-03,20,2,0,3,479931,6,121,0.563
2024-01-03,21,2,0,3,264831,27,416,0.538
2024-01-03,22,2,0,3,462189,5,277,0.543
2024-01-03,23,2,0,3,444820,9,471,0.463
2024-01-03,24,2,0,3,475859,18,451,0.497
2024-01-03,25,2,0,3,789033,10,515,0.447
2024-01-03,26,2,0,3,524921,17,800,0.358
2024-01-03,27,2,0,3,749356,6,404,0.425
2024-01-03,28,2,0,3,502077,7,793,0.34
2024-01-03,29,2,0,3,342582,0,341,0.14
2024-01-03,30,2,0,3,232156,9,212,0.586
2024-01-03,31,2,0,3,369193,2,357,0.445
2024-01-03,32,2,0,3,532601,6,221,0.465
2024-01-03,33,2,0,3,48936,4,521,0.311
2024-01-03,34,2,0,3,263063,20,718,0.522
2024-01-03,35,2,0,3,301400,9,651,0.499
2024-01-03,36,2,0,3,727819,8,139,0.514
2024-01-03,37,2,0,3,512981,0,284,0.121
2024-01-03,38,2,0,3,278344,1,354,0.178
2024-01-04,1,2,0,4,344868,5,678,0.234
2024-01-04,2,2,0,4,414866,8,437,0.537
2024-01-04,3,2,0,4,440934,2,239,0.53
2024-01-04,4,2,0,4,713594,17,303,0.593
2024-01-04,5,2,0,4,560086,9,216,0.601
2024-01-04,6,2,0,4,219893,19,231,0.444
2024-01-04,7,2,0,4,520467,17,678,0.371
2024-01-04,8,2,0,4,268303,4,111,0.541
2024-01-04,9,2,0,4,167264,8,277,0.516
2024-01-04,10,2,0,4,245440,0,1039,0.242
2024-01-04,11,2,0,4,415290,0,364,0.458
2024-01-04,12,2,0,4,216688,11,158,0.555
2024-01-04,13,2,0,4,280528,0,311,0.126
2024-01-04,15,2,0,4,306739,10,151,0.427
2024-01-04,16,2,0,4,423625,3,440,0.439
2024-01-04,17,2,0,4,988369,25,547,0.335
2024-01-04,18,2,0,4,420706,27,250,0.49
2024-01-04,19,2,0,4,354472,8,190,0.582
2024-01-04,20,2,0,4,479931,6,121,0.562
2024-01-04,21,2,0,4,264831,27,416,0.535
2024-01-04,22,2,0,4,462189,5,277,0.542
2024-01-04,23,2,0,4,444820,9,471,0.459
2024-01-04,24,2,0,4,475859,18,451,0.497
2024-01-04,25,2,0,4,789033,10,515,0.447
2024-01-04,26,2,0,4,524921,17,800,0.354
2024-01-04,27,2,0,4,749356,6,404,0.417
2024-01-04,28,2,0,4,502077,7,793,0.337
2024-01-04,29,2,0,4,342582,0,341,0.125
2024-01-04,30,2,0,4,232156,9,212,0.586
2024-01-04,31,2,0,4,369193,2,357,0.432
2024-01-04,32,2,0,4,532601,6,221,0.458
2024-01-04,33,2,0,4,48936,4,521,0.306
2024-01-04,34,2,0,4,263063,20,718,0.523
2024-01-04,35,2,0,4,301400,9,651,0.502
2024-01-04,36,2,0,4,727819,8,139,0.524
2024-01-04,37,2,0,4,512981,0,284,0.117
2024-01-04,38,2,0,4,278344,1,354,0.169
2024-01-05,1,2,0,5,344868,5,678,0.238
2024-01-05,2,2,0,5,414866,8,437,0.551
2024-01-05,3,2,0,5,440934,2,239,0.543
2024-01-05,4,2,0,5,713594,17,303,0.609
2024-01-05,5,2,0,5,560086,9,216,0.614
2024-01-05,6,2,0,5,219893,19,231,0.454
2024-01-05,7,2,0,5,520467,17,678,0.382
2024-01-05,8,2,0,5,268303,4,111,0.556
2024-01-05,9,2,0,5,167264,8,277,0.525
2024-01-05,10,2,0,5,245440,0,1039,0.253
2024-01-05,11,2,0,5,415290,0,364,0.469
2024-01-05,12,2,0,5,216688,11,158,0.574
2024-01-05,13,2,0,5,280528,0,311,0.129
2024-01-05,15,2,0,5,306739,10,151,0.438
2024-01-05,16,2,0,5,423625,3,440,0.458
2024-01-05,17,2,0,5,988369,25,547,0.341
2024-01-05,18,2,0,5,420706,27,250,0.5
2024-01-05,19,2,0,5,354472,8,190,0.595
2024-01-05,20,2,0,5,479931,6,121,0.571
2024-01-05,21,2,0,5,264831,27,416,0.548
2024-01-05,22,2,0,5,462189,5,277,0.551
2024-01-05,23,2,0,5,444820,9,471,0.476
2024-01-05,24,2,0,5,475859,18,451,0.508
2024-01-05,25,2,0,5,789033,10,515,0.457
2024-01-05,26,2,0,5,524921,17,800,0.373
2024-01-05,27,2,0,5,749356,6,404,0.44
2024-01-05,28,2,0,5,502077,7,793,0.346
2024-01-05,29,2,0,5,342582,0,341,0.121
2024-01-05,30,2,0,5,232156,9,212,0.601
2024-01-05,31,2,0,5,369193,2,357,0.459
