geometry,name
POINT (29.2763499999941 40.8183030005252),33
POINT (29.266183999994 40.8140130005245),33
POINT (29.3429089999946 40.8837970005355),33
POINT (29.3517150000085 40.8281299991206),33
POINT (29.3586189999948 40.8285630005268),33
POINT (29.3613329999948 40.8310310005272),33
POINT (29.3592879849548 40.8394929947744),33
POINT (29.2923689999942 40.8272520005255),33
POINT (29.2921199999942 40.8272620005266),33
POINT (29.3520749999947 40.886301000536),33
POINT (29.3518119999947 40.8864070005359),33
POINT (29.399132999995 40.9146790005404),33
POINT (29.397395999995 40.9124880005401),33
POINT (29.391281000008 40.9187399991186),33
POINT (29.391470000008 40.9187029991186),33
POINT (29.3882209999949 40.9396460005443),33
POINT (29.2632839100095 40.8768309591195),26
POINT (29.3486109999946 40.9202110005412),33
POINT (29.3166050000089 40.8235319991206),33
POINT (29.396147999995 40.8985060005379),33
POINT (29.080524999991 41.0813630005669),10
POINT (29.0835779999909 41.106833000571),10
POINT (29.0905359999911 41.088525000568),10
POINT (28.8100799999829 41.1113960005714),7
POINT (29.2146629999931 40.9545840005467),27
POINT (28.6617219999733 41.0805070005661),7
POINT (28.7133009999778 40.9906130005519),3
POINT (28.7138379999778 40.9909100005519),3
POINT (28.7202839999778 40.9794870005498),3
POINT (28.7015849999767 41.0313240005583),3
POINT (28.7015659999768 41.0095280005548),16
POINT (28.7012889999768 41.0101140005549),3
POINT (28.7058279999766 41.0063590005539),3
POINT (28.7074369999773 41.0049800005541),3
POINT (28.7131359999777 40.9997420005533),3
POINT (28.7139569999778 40.997766000553),3
POINT (28.7097179999775 41.0031210005538),3
POINT (28.7161099999779 40.9940870005524),3
POINT (29.0169000000117 41.2225389991121),28
POINT (29.0226449992847 41.220189972525),28
POINT (29.0280819512495 41.2210469729215),28
POINT (28.6150769999693 40.9905620005515),11
POINT (28.9601009999886 41.0243130005576),18
POINT (28.9452189999882 41.0186130005567),18
POINT (28.9502349969637 41.0088629810843),18
POINT (28.9500809999884 41.0086370005551),18
POINT (28.936868999988 41.0075410005549),18
POINT (28.9318179540307 41.0206129726702),18
POINT (28.9532379999885 41.0060570005547),18
POINT (28.9203689999876 40.9935820005527),18
POINT (28.9313439999879 40.9996910005536),18
POINT (28.9318028000114 41.0001335991168),18
POINT (28.9663769999888 41.0185790005567),18
POINT (28.9607419999886 41.0114990005556),18
POINT (28.9537339999885 41.0051010005545),18
POINT (28.9649970000115 41.0202439991164),18
POINT (28.961100959763 41.0114749712215),18
POINT (28.9368569999879 41.0305200005586),18
POINT (28.9482179999883 41.0110830005555),18
POINT (28.9601950258831 41.0118770331685),18
POINT (28.9656320000115 41.0199029991164),18
POINT (28.9657880000115 41.0197949991164),18
