geometry,is_active,district_code
POINT (28.881680707 41.0058001386),1,5.0
POINT (29.1923983239 40.9132883838),1,23.0
POINT (28.9480900733 41.0120083811),1,18.0
POINT (28.7672340276 41.0794660403),1,7.0
POINT (28.906939745 41.0572800041),1,19.0
POINT (28.8822397351 41.0752974339),1,19.0
POINT (28.8723322859 40.980241915),1,6.0
POINT (29.0764726676 40.9714092752),1,21.0
POINT (29.2385281454 40.8887242519),1,26.0
POINT (29.2271981056 40.8967288368),1,23.0
POINT (29.2834955975 40.8568547122),1,26.0
POINT (29.0973186221 41.0259432808),1,34.0
POINT (29.114255858 40.9378068715),1,25.0
POINT (29.0128155731 41.0252969925),1,35.0
POINT (28.848131392 41.0568370074),1,4.0
POINT (29.0289380334 40.9897914366),1,21.0
POINT (28.8775129878 41.0152086456),1,20.0
POINT (28.9428477215 41.0698014663),1,17.0
POINT (28.9460604337 41.0737690827),1,17.0
POINT (28.9494471692 41.0784579664),1,17.0
POINT (28.9439170961 41.0868880935),1,17.0
POINT (28.9603097439 41.0242383795),1,18.0
POINT (28.9253384078 41.0218231939),1,36.0
POINT (29.0051660767 41.0943417237),1,28.0
POINT (28.9808666 41.0269906403),1,12.0
POINT (28.8424316868 41.0327712121),1,4.0
POINT (28.9784244836 41.0121629659),1,18.0
POINT (28.7965144472 41.0882009753),1,7.0
POINT (29.0285260083 40.9878694508),1,21.0
POINT (29.0136915989 41.0767715513),1,30.0
POINT (28.9194509655 41.0192277354),1,36.0
POINT (28.9095053582 41.0103904554),1,36.0
POINT (28.8636557132 41.0238202101),1,20.0
POINT (28.8372751097 40.9654691979),1,6.0
POINT (29.2733636214 40.8609774864),1,26.0
POINT (28.7663997635 41.0178236153),1,24.0
POINT (28.8315007416 41.0549034307),1,4.0
POINT (29.0598854733 40.9981735143),1,35.0
POINT (28.9544622861 41.0286247834),1,18.0
POINT (28.86297747 41.0998271111),1,32.0
POINT (28.8945640632 41.0401423681),1,8.0
POINT (28.8437966736 41.1224578381),1,32.0
POINT (28.7912865195 41.097668849),1,7.0
POINT (29.0070937585 41.0860061902),1,22.0
POINT (28.8884510108 41.0370483035),1,15.0
POINT (29.0213268333 40.985181343),1,21.0
POINT (28.8955204746 41.0484570927),1,8.0
POINT (28.8876515183 41.0726561721),1,19.0
POINT (29.0375407815 41.0823435461),1,9.0
POINT (29.0844186912 40.9604752408),1,21.0
POINT (29.0950591486 40.9538001485),1,21.0
POINT (28.8553800128 41.0628471179),1,15.0
POINT (28.9362253204 41.0802283123),1,17.0
POINT (28.7739273174 41.0062619961),1,24.0
POINT (28.9758940742 41.0151787938),1,18.0
POINT (28.9271565618 41.0182643876),1,18.0
POINT (28.8427537611 41.0331712495),1,4.0
POINT (28.9202426412 41.034096046),1,17.0
POINT (28.9351655775 41.0504706073),1,17.0
POINT (29.0207987305 41.1080929067),1,28.0
POINT (28.9504763048 41.005588975),1,18.0
POINT (29.020752372 40.9884331596),1,21.0
POINT (29.0109240486 41.0689993628),1,30.0
POINT (28.9339749517 41.0314391067),1,17.0
POINT (28.9925196278 41.0342600076),1,12.0
POINT (28.9920304059 41.0339800289),1,12.0
POINT (28.915524597 41.0466419975),1,17.0
POINT (28.8954815845 41.0685637951),1,19.0
POINT (28.8367082249 40.9893132336),1,6.0
POINT (28.8305389157 41.0548941972),1,4.0
POINT (28.9538638023 41.0095921116),1,18.0
POINT (28.9102501142 41.0541363716),1,19.0
POINT (28.864009196 41.0928320034),1,32.0
POINT (28.8578112 41.111919952),1,32.0
POINT (28.9597904528 41.0095852413),1,18.0
POINT (29.2105353314 40.8845046267),1,23.0
POINT (29.2316720558 40.8802067715),1,26.0
POINT (28.8750662124 41.0811903035),1,19.0
POINT (29.1183812217 41.0215409985),1,34.0
POINT (28.9733006431 41.0795639497),1,22.0
POINT (29.3000611747 40.8456508905),1,33.0
POINT (28.9953910663 41.0652301997),1,30.0
POINT (28.9054442225 40.985877775),1,36.0
POINT (28.7993743238 41.058395086),1,24.0
POINT (28.7729423261 40.9885240376),1,24.0
POINT (28.7970279467 40.9677662609),1,6.0
POINT (29.1242047148 40.9268299859),1,25.0
POINT (29.025473107 40.9910897361),1,21.0
POINT (29.0251285208 41.1295804129),1,28.0
POINT (29.0241937825 41.118255545),1,28.0
POINT (29.1395599592 40.9358193379),1,25.0
POINT (29.0275960507 40.9848860823),1,21.0
POINT (29.0267349436 40.9840909558),1,21.0
POINT (28.9711299487 41.0084351413),1,18.0
POINT (28.9320311155 41.0158815142),1,18.0
POINT (28.9233777611 41.0370058895),1,17.0
POINT (28.9442967061 41.0107080395),1,18.0
POINT (28.900212216 41.0206505824),1,15.0
POINT (29.0903877924 40.9847287608),1,21.0
POINT (28.986995331 41.0366106262),1,12.0
POINT (28.975587398 41.008087187),1,18.0
POINT (28.9293599063 41.0256928527),1,17.0
POINT (28.8754036789 40.9966103583),1,6.0
POINT (29.0304364747 41.1397726671),1,28.0
POINT (28.9598347809 41.0122648278),1,18.0
POINT (28.8359418382 41.0403554341),1,4.0
POINT (28.8606511837 41.0330845374),1,4.0
POINT (28.8512631642 41.11621368),1,32.0
POINT (28.9664222621 41.022434782),1,35.0
POINT (29.1053503103 40.9645784145),1,21.0
POINT (29.0847807184 41.0246243207),1,34.0
POINT (29.2488374197 40.882088389),1,26.0
POINT (28.9083979482 41.0853738983),1,19.0
POINT (28.8562244497 40.9802159969),1,6.0
POINT (29.028844655 41.0282537069),1,35.0
POINT (28.9281017456 41.0796856699),1,17.0
POINT (29.0135223765 41.0256996122),1,35.0
POINT (29.0364140056 41.0219145673),1,35.0
POINT (28.8248930566 40.962652581),1,6.0
POINT (29.1335259971 40.9206463836),1,25.0
POINT (28.8926872572 41.0838545405),1,19.0
POINT (29.1068216034 40.9462573976),1,25.0
POINT (28.7874733117 40.9729608799),1,6.0
POINT (29.0301236137 41.0000768042),1,21.0
POINT (28.9894418022 41.0314532963),1,12.0
POINT (28.9746879491 41.0221147392),1,12.0
POINT (28.9093460025 41.0078444838),1,36.0
POINT (28.8670836783 41.0209671886),1,20.0
POINT (29.0996930943 40.9752225),1,2.0
POINT (29.0244084241 40.984062436),1,21.0
POINT (28.94712091 41.0099969873),1,18.0
POINT (28.9282569721 41.0341805312),1,17.0
POINT (28.8460862329 40.9913483432),1,6.0
POINT (29.147007915 40.9299434238),1,25.0
POINT (28.8807589097 41.0115575409),1,5.0
POINT (28.8784918018 41.0427573125),1,15.0
POINT (28.8259631805 41.0649978935),1,4.0
POINT (28.8561754626 41.034514697),1,4.0
POINT (29.2113837621 40.9066447114),1,23.0
POINT (29.0145271463 41.0755084748),1,30.0
POINT (29.076243829 41.0163439849),1,35.0
POINT (28.9771245143 41.0135844923),1,18.0
POINT (28.8669783971 41.0714904542),1,15.0
POINT (29.0620828309 41.0221826659),1,35.0
POINT (29.1694542075 40.8985880196),1,23.0
POINT (28.9804834482 41.0706569134),1,22.0
POINT (29.1623536613 41.0152668658),1,34.0
POINT (28.821128321 40.9795412044),1,6.0
