name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"İstanbul, Türkiye",2020-01-01,46.7,40.2,43.4,42.6,33.9,39.3,35.8,74.7,0.071,100.0,8.33,rain,0.0,0.0,35.8,16.7,357.2,1022.9,76.5,7.5,41.5,3.6,2.0,,2020-01-01T08:29:11,2020-01-01T17:45:38,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-02,43.4,39.6,41.7,37.1,32.7,34.7,36.9,83.2,0.573,100.0,16.67,rain,0.0,0.0,30.9,16.3,26.0,1026.5,78.6,7.4,69.3,6.0,3.0,,2020-01-02T08:29:18,2020-01-02T17:46:28,0.23,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-03,45.1,40.3,42.4,41.8,36.0,39.1,36.5,79.8,0.184,100.0,12.5,rain,0.0,0.0,23.9,8.6,30.8,1024.3,72.1,8.3,53.4,4.5,2.0,,2020-01-03T08:29:22,2020-01-03T17:47:20,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-04,50.1,41.3,44.9,50.1,38.7,43.1,33.9,65.5,0.0,0.0,0.0,,0.0,0.0,18.3,6.2,260.4,1017.2,52.9,8.0,47.0,4.0,3.0,,2020-01-04T08:29:24,2020-01-04T17:48:14,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-05,48.3,42.2,44.2,47.7,35.9,40.8,38.1,79.2,0.09,100.0,8.33,rain,0.0,0.0,24.6,11.4,43.5,1014.4,60.6,6.7,25.1,2.1,2.0,,2020-01-05T08:29:24,2020-01-05T17:49:09,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-06,44.9,42.6,44.0,38.4,34.0,35.4,41.0,89.4,1.892,100.0,16.67,rain,0.0,0.0,46.1,31.6,32.1,1013.4,80.9,4.9,5.5,0.6,0.0,,2020-01-06T08:29:22,2020-01-06T17:50:05,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-07,44.6,40.6,42.2,35.3,31.2,32.8,39.1,88.7,1.039,100.0,16.67,rain,0.0,0.4,50.1,25.9,19.4,1016.4,83.3,4.5,6.5,0.6,0.0,,2020-01-07T08:29:17,2020-01-07T17:51:03,0.39,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-08,42.3,38.8,41.0,35.3,31.2,33.4,36.1,82.4,0.455,100.0,16.67,rain,0.0,0.2,36.2,20.6,8.8,1024.5,84.0,7.6,17.5,1.5,1.0,,2020-01-08T08:29:10,2020-01-08T17:52:03,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"17068099999,D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-09,42.5,37.2,40.6,41.2,30.7,35.8,35.4,81.5,0.145,100.0,12.5,rain,0.0,0.0,27.5,12.8,22.7,1026.6,76.0,7.6,34.6,2.9,2.0,,2020-01-09T08:29:01,2020-01-09T17:53:03,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-10,48.4,34.3,40.5,48.4,28.5,38.5,35.1,81.7,0.0,0.0,0.0,,0.0,0.0,11.0,7.0,23.5,1024.7,12.0,6.9,108.1,9.3,5.0,,2020-01-10T08:28:50,2020-01-10T17:54:05,0.5,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-11,52.8,38.5,45.5,52.8,37.0,44.5,35.8,69.8,0.0,0.0,0.0,,0.0,0.0,13.2,6.1,270.2,1023.3,12.1,7.6,106.8,9.3,5.0,,2020-01-11T08:28:36,2020-01-11T17:55:08,0.52,Clear,Clear conditions throughout the day.,clear-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-12,49.0,42.3,46.7,45.0,38.7,43.2,41.0,80.8,0.035,100.0,8.33,rain,0.0,0.0,20.8,12.6,24.1,1026.7,73.7,8.0,17.6,1.5,1.0,,2020-01-12T08:28:20,2020-01-12T17:56:12,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-13,47.6,41.4,44.8,44.4,36.3,40.9,38.9,79.8,0.003,100.0,4.17,rain,0.0,0.0,16.1,9.0,31.4,1027.6,61.5,8.1,34.4,2.8,1.0,,2020-01-13T08:28:01,2020-01-13T17:57:17,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
"İstanbul, Türkiye",2020-01-14,49.0,34.7,42.4,48.3,29.6,39.9,38.1,85.0,0.0,0.0,0.0,,0.0,0.0,12.5,8.0,27.0,1026.0,33.9,8.0,70.2,6.1,4.0,,2020-01-14T08:27:41,2020-01-14T17:58:23,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17022399999,17064099999,17059099999,17060099999,VRKZ7,LTFJ"
"İstanbul, Türkiye",2020-01-15,49.1,41.7,45.4,45.0,38.9,42.2,40.3,82.3,0.0,0.0,0.0,,0.0,0.0,22.1,11.8,46.8,1029.2,49.5,8.3,47.2,4.0,3.0,,2020-01-15T08:27:18,2020-01-15T17:59:30,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"D8508,LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-16,49.6,45.8,47.6,44.3,40.4,42.4,39.0,72.1,0.0,0.0,0.0,,0.0,0.0,28.0,16.6,44.5,1027.0,80.0,8.2,55.4,4.9,3.0,,2020-01-16T08:26:53,2020-01-16T18:00:38,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
"İstanbul, Türkiye",2020-01-17,49.0,44.0,45.9,43.0,37.5,39.7,38.2,74.7,0.015,100.0,8.33,rain,0.0,0.0,30.2,17.9,29.3,1025.9,81.1,8.1,51.3,4.4,2.0,,2020-01-17T08:26:26,2020-01-17T18:01:47,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"LTBA,17063099999,17119099999,17061099999,17064099999,17059099999,17060099999,LTFJ"
